word,pos,zh,definition,example,collocations,status,primary
"the","art.","这、那（特指）","used before a noun when the person or thing is specific or already known","The keys are on the table.","",generated,yes
"a","art.","一个、任一","used before one person or thing that is not specific","She bought a new bag.","",generated,yes
"in","prep.","在……里面、在……期间","inside a place or during a period of time","The children are in the garden.","in time|in the room",generated,yes
"it","pron.","它","used for a thing, animal, situation, or idea already mentioned","I found my phone and put it in my bag.","",generated,yes
"I","pron.","我","used by the speaker to refer to himself or herself","I am ready to begin.","",generated,yes
"he","pron.","他","used for a male person or boy already mentioned","He works near our home.","",generated,yes
"on","prep.","在……上面、在……时候","touching or supported by a surface; also used for a particular day","The book is on the desk.","on time|on Monday",generated,yes
"at","prep.","在、向、对","used to show a place, point, time, event, or target","Meet me at the station at six.","at home|at work",generated,yes
"but","conj.","但是、不过","used to connect two ideas that are different or unexpected","I was tired, but I finished the work.","",generated,yes
"by","prep.","被、经、由","used to show who did something, how it happened, or what is beside something","The song was written by her.","by hand|by bus",generated,yes
"or","conj.","或、或者","used to show an alternative, choice, or other possibility","Would you like tea or coffee?","",generated,yes
"as","prep.","作为、像、当……时","used to describe a role, comparison, or something happening at the same time","She works as a teacher.","as usual|as a result",generated,yes
"can","aux.","能、可以","used to say that someone is able or allowed to do something","I can help you today.","",generated,yes
"who","pron.","谁","used to ask which person or to add information about a person","Who is at the door?","",generated,yes
"about","prep.","关于、大约、在……周围","connected with a subject; also meaning approximately","We talked about the new plan.","about time|about five minutes",generated,yes
"will","aux.","将、会、愿意","used to talk about the future or a decision to do something","I will call you tomorrow.","",generated,yes
"up","adv.","向上、起来","toward a higher place or position","Please stand up.","go up|look up",generated,yes
"me","pron.","我","used by the speaker as the object of a verb or preposition","Please send me the photo.","",generated,yes
"out","adv.","出去、在外","away from the inside of a place","She went out after dinner.","go out|find out",generated,yes
"just","adv.","只是、刚刚、正好","only, very recently, or exactly","I have just finished lunch.","just now|just right",generated,yes
"its","pron.","它的","used to show that something belongs to or is connected with a thing or animal","The dog moved its tail.","",generated,yes
"more","adv.","更多、更","to a greater amount, number, or degree","We need more time.","more than|more often",generated,yes
"well","adv.","很好地、充分地","in a good, successful, or satisfactory way","She speaks English very well.","do well|work well",generated,yes
"only","adv.","只、仅仅","used to say that there is no more than one thing, person, amount, or choice","I only need five minutes.","only one|not only",generated,yes
"even","adv.","甚至、即使","used to emphasize something surprising or more extreme","Even the youngest child understood.","even better|even if",generated,yes
"back","adv.","回来、向后","toward an earlier place, position, or time","Please come back soon.","go back|give back",generated,yes
"us","pron.","我们","used by the speaker for a group including himself or herself as the object","She invited us to dinner.","",generated,yes
"down","adv.","向下、下来","toward a lower place or position","Please sit down.","go down|write down",generated,yes
"may","aux.","可以、可能","used to say that something is possible or that someone has permission","It may rain this afternoon.","",generated,yes
"after","prep.","在……之后","later than a particular time or event","We went home after dinner.","after work|after school",generated,yes
"call","v.","打电话、称呼、叫","to speak to someone by phone, give a name, or ask someone to come","Please call me tonight.","call back|call for help",generated,yes
"over","prep.","在……上方、越过、遍及","above, across, or covering something","The plane flew over the city.","all over|over time",generated,yes
