word,pos,zh,corpus_count,corpus_share,tracks
abuse,n.,滥用、虐待、恶习,5041,0.907,life+cet4+cet6+postgrad
abuse,v.,滥用、辱骂、虐待,489,0.088,life+cet4+cet6+postgrad
access,n.,通路、入口、接近,10301,0.909,life+cet4+cet6+postgrad
access,v.,访问、存取、接近,921,0.081,life+cet4+cet6+postgrad
account,n.,报告、解释、估价,7718,0.817,life+cet4+postgrad
account,v.,报帐、解释、导致,1612,0.171,life+cet4+postgrad
ache,n.,疼痛,332,0.733,cet4+postgrad
ache,v.,痛、哀怜、渴望,101,0.223,cet4+postgrad
acid,n.,酸、酸类物质、尖刻,1923,0.927,cet4+cet6+postgrad
acid,adj.,酸的、酸性的、尖刻的,133,0.064,cet4+cet6+postgrad
act,n.,行动、行为、幕,9934,0.506,life+cet4+postgrad
act,v.,行动、表演、假装,5718,0.291,life+cet4+postgrad
address,n.,住址、演说、举止,6101,0.622,life+cet4+cet6+postgrad
address,v.,发表(演说或讲话)、对付、写地址,3669,0.374,life+cet4+cet6+postgrad
adjective,adj.,形容词的、从属的,136,0.615,cet4+postgrad
adjective,n.,形容词,55,0.249,cet4+postgrad
adult,n.,成人、成虫,4911,0.963,life+cet4+postgrad
adult,adj.,成年的、成熟的,133,0.026,life+cet4+postgrad
advance,n.,前进、进展、行过的路程,4760,0.903,cet4+cet6+postgrad
advance,v.,前进、进展、提高,431,0.082,cet4+cet6+postgrad
advocate,n.,提倡者、拥护者,503,0.559,cet4+cet6+postgrad
advocate,v.,主张、提倡,209,0.232,cet4+cet6+postgrad
aid,n.,帮助、外援、助手,5939,0.876,life+cet4+cet6+postgrad
aid,v.,援助、帮助、有助于,253,0.037,life+cet4+cet6+postgrad
aim,n.,目标、瞄准、击中目标的能力,4691,0.761,life+cet4+cet6+postgrad
aim,v.,对准目标、致力、打算,1281,0.208,life+cet4+cet6+postgrad
alert,adj.,警觉的、灵敏的、留心的,1082,0.500,cet4+cet6+postgrad
alert,n.,警报,643,0.297,cet4+cet6+postgrad
alert,v.,使警觉、通知、使意识到,299,0.138,cet4+cet6+postgrad
alien,adj.,外国的、相异的,2354,0.748,cet6+postgrad
alien,n.,外国人、外侨,533,0.169,cet6+postgrad
ally,n.,同盟者、同盟国、助手,692,0.603,cet6+postgrad
ally,v.,使联盟、使联合、使有关系,24,0.021,cet6+postgrad
alone,adv.,独自地,21001,0.970,life+cet4+postgrad
alone,adj.,孤独的、单独的、独自的,568,0.026,life+cet4+postgrad
alternative,n.,两者择一、供替代的选择,3428,0.550,cet4+cet6+postgrad
alternative,adj.,两者择一的、供选择的,2610,0.419,cet4+cet6+postgrad
amount,n.,总数、总额,23312,0.987,life+cet4+postgrad
amount,v.,总计、等同,309,0.013,life+cet4+postgrad
answer,n.,答案、回答、回报,61204,0.839,life
answer,v.,回答、反驳、适应,11625,0.159,life
antique,adj.,古老的、古风的、旧式的,1993,0.588,cet6+postgrad
antique,n.,古董、古物,1243,0.367,cet6+postgrad
appeal,n.,恳求、诉请、上诉,4769,0.607,life+cet4+cet6+postgrad
appeal,v.,呼吁、诉请、要求,2582,0.328,life+cet4+cet6+postgrad
approach,n.,接近、入门,8408,0.816,life+cet4+cet6+postgrad
approach,v.,接近、近似、找...商量,1833,0.178,life+cet4+cet6+postgrad
arch,n.,拱门、拱形、足弓,1203,0.797,cet6+postgrad
arch,v.,使成弓形,48,0.032,cet6+postgrad
arm,n.,手臂、袖子、狭长港湾,9888,0.974,life
arm,v.,武装、装备,226,0.022,life
arrest,n.,逮捕、监禁,3128,0.687,cet4+cet6+postgrad
arrest,v.,拘捕、抑制、吸引,1425,0.313,cet4+cet6+postgrad
asleep,adv.,熟睡地,2482,0.580,cet4+postgrad
asleep,adj.,睡着的、长眠的、麻木的,1771,0.414,cet4+postgrad
assistant,n.,助手、助理、助教,3066,0.784,cet4+cet6+postgrad
assistant,adj.,有帮助的、辅助的、助理的,478,0.122,cet4+cet6+postgrad
associate,v.,使联合、使发生联系,903,0.546,life+cet4+cet6+postgrad
associate,n.,同伴、伙伴、关联的事物,205,0.124,life+cet4+cet6+postgrad
attack,n.,攻击、抨击,13033,0.822,life+cet4+cet6+postgrad
attack,v.,攻击、抨击、动手干,2665,0.168,life+cet4+cet6+postgrad
attempt,n.,尝试、企图,6387,0.795,life+cet4+cet6+postgrad
attempt,v.,尝试、企图,1645,0.205,life+cet4+cet6+postgrad
attendant,n.,随从、侍者、出席者,197,0.821,cet6+postgrad
attendant,adj.,侍候的、伴随的、出席的,40,0.167,cet6+postgrad
attribute,v.,把...归于、认为...属于,131,0.630,cet4+cet6+postgrad
attribute,n.,属性、标志、定语,76,0.365,cet4+cet6+postgrad
auction,n.,拍卖,28993,0.969,postgrad
auction,v.,拍卖,471,0.016,postgrad
audit,n.,审计、查帐,451,0.502,postgrad
audit,v.,查(帐)、旁听,27,0.030,postgrad
average,adj.,平均的、中等的、平常的,6751,0.631,life+cet4+postgrad
average,n.,平均、平均数、一般水平,3814,0.356,life+cet4+postgrad
average,v.,算出...平均数、平均做、均分,109,0.010,life+cet4+postgrad
awe,n.,敬畏,714,0.592,postgrad
awe,v.,使敬畏,36,0.030,postgrad
axe,n.,斧、斧头,1186,0.826,postgrad
axe,v.,削减(人员、经费、计划、机构等),92,0.064,postgrad
back,adv.,向后地,295087,0.823,life
back,n.,背部、后面,35737,0.100,life
back,adj.,后面的,11618,0.032,life
back,v.,使后退、支持,3977,0.011,life
baffle,v.,困惑、为难、使挫折,45,0.562,cet6
baffle,n.,迷惑、挡板,23,0.287,cet6
bake,v.,烘焙、烤,1431,0.427,cet4+postgrad
bake,n.,烘焙、烤,1115,0.333,cet4+postgrad
balance,n.,平衡、差额,9028,0.836,life+cet4+postgrad
balance,v.,平衡、相等,1683,0.156,life+cet4+postgrad
ban,n.,禁令,2948,0.732,cet4+cet6+postgrad
ban,v.,禁止、取缔,927,0.230,cet4+cet6+postgrad
bankrupt,adj.,破产的,823,0.920,cet6+postgrad
bankrupt,v.,使破产,71,0.079,cet6+postgrad
bar,n.,条、棒、酒吧,10431,0.930,life+cet4+postgrad
bar,v.,禁止、阻挡、妨碍,115,0.010,life+cet4+postgrad
bargain,n.,交易、买卖协定、特价商品,7087,0.988,cet4+cet6+postgrad
bargain,v.,讲价、交易,83,0.012,cet4+cet6+postgrad
bark,n.,树皮、吠声,1222,0.729,cet4+cet6+postgrad
bark,v.,吠、叫骂,322,0.192,cet4+cet6+postgrad
base,n.,底部、垒、基础,9706,0.924,life+cet4+postgrad
base,v.,以...作基础,370,0.035,life+cet4+postgrad
battle,n.,战役,14197,0.814,life+cet4+cet6+postgrad
battle,v.,战斗,813,0.047,life+cet4+cet6+postgrad
bear,n.,熊,7134,0.470,life
bear,v.,忍受、支承、产生,4531,0.298,life
beat,v.,打、拍打、打败,18787,0.790,life
beat,n.,心跳(声)、打、敲打声,4494,0.189,life
beat,adj.,疲乏的、颓废的,485,0.020,life
bed,n.,床、睡眠处、河床,25860,0.984,life
bed,v.,提供宿处、栽种、安装,317,0.012,life
benefit,n.,利益,10063,0.742,life+cet4+cet6+postgrad
benefit,v.,有益于,3185,0.235,life+cet4+cet6+postgrad
best,adj.,最好的,117141,0.958,life
best,adv.,最好地,5149,0.042,life
bet,v.,打赌,9234,0.722,cet4+postgrad
bet,n.,打赌、赌注,3382,0.264,cet4+postgrad
better,adj.,较好的,79655,0.680,life
better,adv.,比较好,36990,0.316,life
bid,n.,出价,25320,0.909,cet6+postgrad
bid,v.,命令、吩咐、请求,2516,0.090,cet6+postgrad
bite,n.,咬、一口,2808,0.499,cet4+postgrad
bite,v.,咬、刺痛、穿透,2774,0.493,cet4+postgrad
blackmail,v.,勒索,466,0.905,postgrad
blackmail,n.,勒索,40,0.078,postgrad
blame,v.,责备、归咎于,7396,0.803,life+cet4+cet6+postgrad
blame,n.,过失、责备,1777,0.193,life+cet4+cet6+postgrad
blank,adj.,空白的、空虚的、完全的,2102,0.800,cet4+postgrad
blank,n.,空格、空白,369,0.141,cet4+postgrad
blanket,n.,毛毯、毯子,1668,0.984,cet4+postgrad
blanket,v.,掩盖、覆盖,20,0.012,cet4+postgrad
blast,n.,一阵风、爆炸、枯萎病,1928,0.715,cet4+cet6+postgrad
blast,v.,炸、使枯萎,450,0.167,cet4+cet6+postgrad
blaze,n.,火焰、烈火、光辉,607,0.740,cet4+cet6+postgrad
blaze,v.,燃烧、发光,70,0.085,cet4+cet6+postgrad
blink,n.,眨眼、瞬间、闪光,656,0.588,cet6
blink,v.,眨眼、闪亮,400,0.358,cet6
block,n.,街区、木块、石块,5745,0.771,life
block,v.,阻塞、封锁、使成块状,1350,0.181,life
blossom,n.,花、花开的状态、兴旺期,462,0.592,cet4+cet6+postgrad
blossom,v.,开花、兴旺、发展,113,0.145,cet4+cet6+postgrad
blow,v.,吹、风吹、吹响,5175,0.497,life
blow,n.,吹、打击、殴打,4999,0.480,life
blue,adj.,蓝色的、下流的、忧郁的,21594,0.738,life
blue,n.,蓝色,1408,0.048,life
